address,city_id,city_name,domain,id_,lat,long,name,pk,province_id,province_name,slug,type_,url
"Corato, Interspar via Gravina 62 - Corato",2322,Corato,https://shop.despar.com,33774,41.139118,16.415059,"Corato, Interspar via Gravina 62",https://shop.despar.com;spesa-ritiro-negozio;corato-interspar-via-gravina-62;33774,9,Bari,corato-interspar-via-gravina-62,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/corato-interspar-via-gravina-62
"Giovinazzo, Via Bari Ang. Via Toselli 121 - Giovinazzo",3150,Giovinazzo,https://shop.despar.com,33889,41.181991,16.677774,"Giovinazzo, Via Bari Ang. Via Toselli 121",https://shop.despar.com;spesa-ritiro-negozio;via-bari-121;33889,9,Bari,via-bari-121,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/via-bari-121
"Modugno, Via Papa Giovanni Paolo II 1 - Modugno",4115,Modugno,https://shop.despar.com,33985,41.089399,16.772867,"Modugno, Via Papa Giovanni Paolo II 1",https://shop.despar.com;spesa-ritiro-negozio;via-papa-giovanni-paolo-i;33985,9,Bari,via-papa-giovanni-paolo-i,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/via-papa-giovanni-paolo-i
"Terlizzi, Via Federico II - Via Aldo Moro snc - Terlizzi",7203,Terlizzi,https://shop.despar.com,33911,41.131852,16.552422,"Terlizzi, Via Federico II - Via Aldo Moro snc",https://shop.despar.com;spesa-ritiro-negozio;viale-aldo%20moro-snc;33911,9,Bari,viale-aldo%20moro-snc,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/viale-aldo%20moro-snc
"Rende, Interspar Via Silvio Pellico 18 - Rende",5690,Rende,https://shop.despar.com,33838,39.336825,16.237959,"Rende, Interspar Via Silvio Pellico 18",https://shop.despar.com;spesa-ritiro-negozio;rende-interspar-via-silvio-pellico-18;33838,28,Cosenza,rende-interspar-via-silvio-pellico-18,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/rende-interspar-via-silvio-pellico-18
"Pescara - Via Tiburtina Valeria km 228,6 (aeroporto) - Pescara",5096,Pescara,https://shop.despar.com,33839,42.480694,14.19343,"Pescara - Via Tiburtina Valeria km 228,6 (aeroporto)",https://shop.despar.com;spesa-ritiro-negozio;pescara-via-tiburtina-valeria-km-228;33839,71,Pescara,pescara-via-tiburtina-valeria-km-228,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/pescara-via-tiburtina-valeria-km-228
Maiora - fil.64 Melfi - Melfi,3991,Melfi,https://shop.despar.com,33877,40.993728,15.643768,Maiora - fil.64 Melfi,https://shop.despar.com;spesa-ritiro-negozio;melfi-viale-aldo-moro;33877,76,Potenza,melfi-viale-aldo-moro,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/melfi-viale-aldo-moro
"Trani, Via Annibale di Francia 54/56 - Trani",7382,Trani,https://shop.despar.com,33881,41.268751,16.420174,"Trani, Via Annibale di Francia 54/56",https://shop.despar.com;spesa-ritiro-negozio;via-sant-annibale-maria-di-francia-54;33881,10,Barletta Andria Trani,via-sant-annibale-maria-di-francia-54,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/via-sant-annibale-maria-di-francia-54
Maiora - fil.29 Matera - Matera,3952,Matera,https://shop.despar.com,33885,40.680919,16.577805,Maiora - fil.29 Matera,https://shop.despar.com;spesa-ritiro-negozio;matera-via-gaio-sallustio-crispo;33885,55,Matera,matera-via-gaio-sallustio-crispo,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/matera-via-gaio-sallustio-crispo
"Ostuni, Via Pesaro 20 - Ostuni",4858,Ostuni,https://shop.despar.com,33914,40.725108,17.582176,"Ostuni, Via Pesaro 20",https://shop.despar.com;spesa-ritiro-negozio;via-pesaro-20;33914,18,Brindisi,via-pesaro-20,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/via-pesaro-20
"Nardò, Via Generale Cantore 9 - Nardò",4578,Nardò,https://shop.despar.com,33927,40.178886,18.037019,"Nardò, Via Generale Cantore 9",https://shop.despar.com;spesa-ritiro-negozio;via-generale-cantore-9;33927,47,Lecce,via-generale-cantore-9,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/via-generale-cantore-9
Pentella - Castello di Cisterna - Castello di Cisterna,1708,Castello di Cisterna,https://shop.despar.com,34172,40.910161,14.401396,"Pentella - Castello di Cisterna, Via Selva",https://shop.despar.com;spesa-ritiro-negozio;via-selva-sn;34172,60,Napoli,via-selva-sn,spesa-ritiro-negozio,https://shop.despar.com/spesa-ritiro-negozio/via-selva-sn
